x,y,z
3.982675790786743,2.1556789875030518,-8.705767982064572e-07
3.9650025367736816,2.165041446685791,-8.703922276254161e-07
3.9473071098327637,2.1743621826171875,-8.700635021341441e-07
3.929748058319092,2.183927536010742,-8.695398605595983e-07
3.9123594760894775,2.193798303604126,-8.687723038747208e-07
3.8950231075286865,2.203760862350464,-8.679312486492563e-07
3.8778700828552246,2.2140302658081055,-8.668399686939665e-07
3.8608827590942383,2.224575996398926,-8.65523134052637e-07
3.8439736366271973,2.235243320465088,-8.64105231812573e-07
3.8272604942321777,2.2462148666381836,-8.624330689599446e-07
3.8106656074523926,2.2573697566986084,-8.606077130934864e-07
3.794215202331543,2.268733024597168,-8.586040962654806e-07
3.7779712677001953,2.2803945541381836,-8.563443998355069e-07
3.7617900371551514,2.292146682739258,-8.540072258256259e-07
3.745847225189209,2.3042142391204834,-8.513908369423007e-07
3.7301430702209473,2.316598653793335,-8.484940963171539e-07
3.714512348175049,2.3290724754333496,-8.45515330638591e-07
3.699127674102783,2.3418450355529785,-8.422623523074435e-07
3.6839160919189453,2.354828357696533,-8.388158789784939e-07
3.668837308883667,2.3679606914520264,-8.352272971023922e-07
3.653982162475586,2.381345272064209,-8.313995749631431e-07
3.6392171382904053,2.394831418991089,-8.27474650577642e-07
3.624652624130249,2.408529281616211,-8.233419066527858e-07
3.610311508178711,2.422463893890381,-8.189765026145324e-07
3.5960376262664795,2.436466693878174,-8.145430001604836e-07
3.5819859504699707,2.450690507888794,-8.098850230453536e-07
3.5681135654449463,2.4650931358337402,-8.050456017372198e-07
3.5543479919433594,2.47959566116333,-8.001002811397484e-07
3.5408010482788086,2.4943032264709473,-7.949395239847945e-07
3.527364730834961,2.5091145038604736,-7.896694000919524e-07
3.5140960216522217,2.524074077606201,-7.842368177080061e-07
3.5010392665863037,2.5392210483551025,-7.785989737385535e-07
3.4880449771881104,2.5544228553771973,-7.729005346845952e-07
3.475254535675049,2.5697951316833496,-7.670074637644575e-07
3.462649345397949,2.585322856903076,-7.609372687511495e-07
3.4501287937164307,2.600917100906372,-7.547868108304101e-07
3.4378254413604736,2.616683006286621,-7.484303523597191e-07
3.425654888153076,2.6325533390045166,-7.419479288728326e-07
3.4136087894439697,2.648516893386841,-7.353472710747155e-07
3.4017434120178223,2.6646156311035156,-7.285750598384766e-07
3.38993501663208,2.6807565689086914,-7.217492452582519e-07
3.3782877922058105,2.6970131397247314,-7.14767907084024e-07
3.366805076599121,2.7133870124816895,-7.076291694829706e-07
3.355367660522461,2.7297921180725098,-7.004463213888812e-07
3.3440804481506348,2.746300458908081,-6.931165899004554e-07
3.332900047302246,2.762882709503174,-6.856819254608126e-07
3.3217990398406982,2.77951717376709,-6.781672254874138e-07
3.310833215713501,2.796241283416748,-6.705159876219113e-07
3.299923896789551,2.8130030632019043,-6.628081905546424e-07
3.28912091255188,2.8298325538635254,-6.549882982653799e-07
3.2784371376037598,2.8467392921447754,-6.470418156823143e-07
3.2677865028381348,2.8636670112609863,-6.390592943716911e-07
3.257239818572998,2.880659341812134,-6.309599598353088e-07
3.2467780113220215,2.897704601287842,-6.22765298885497e-07
3.2363579273223877,2.9147751331329346,-6.145187967376842e-07
3.226025104522705,2.931898832321167,-6.061649742150621e-07
3.2157373428344727,2.949049711227417,-5.977556725156319e-07
3.2055041790008545,2.966233253479004,-5.892696890441584e-07
3.195340633392334,2.9834582805633545,-5.806857643619878e-07
3.185196876525879,3.000694990158081,-5.720727358493605e-07
3.175107002258301,3.01796293258667,-5.633652335745865e-07
3.1650664806365967,3.0352602005004883,-5.545711019294686e-07
3.1550378799438477,3.0525639057159424,-5.457461611513281e-07
3.1450395584106445,3.06988525390625,-5.368402753447299e-07
3.1350595951080322,3.087217092514038,-5.278843104861153e-07
3.1250863075256348,3.104552745819092,-5.188821887713857e-07
3.115121364593506,3.121893882751465,-5.098120254842797e-07
3.105159282684326,3.1392362117767334,-5.007201480111689e-07
3.095186710357666,3.1565723419189453,-4.915706313113333e-07
3.0852034091949463,3.1739022731781006,-4.823622248295578e-07
3.0752108097076416,3.1912271976470947,-4.7313886852862197e-07
3.0651867389678955,3.208533763885498,-4.638660300315678e-07
3.0551397800445557,3.2258269786834717,-4.545574654457596e-07
3.0450620651245117,3.2431023120880127,-4.452260782272788e-07
3.034931182861328,3.2603464126586914,-4.358550995675614e-07
3.024777889251709,3.2775771617889404,-4.2646740894269897e-07
3.0145578384399414,3.2947683334350586,-4.17054195622768e-07
3.0042622089385986,3.3119144439697266,-4.0761196373750863e-07
2.9939396381378174,3.3290443420410156,-3.9816308117224253e-07
2.983517646789551,3.3461132049560547,-3.886965771471296e-07
2.973013401031494,3.3631319999694824,-3.7921552120678825e-07
2.9624502658843994,3.3801140785217285,-3.697321062645642e-07
2.9517626762390137,3.397017478942871,-3.602436038363521e-07
2.9410102367401123,3.4138803482055664,-3.507524297674536e-07
2.9301414489746094,3.4306674003601074,-3.4126810533052776e-07
2.9191226959228516,3.447356700897217,-3.3179259162352537e-07
2.9080569744110107,3.464015007019043,-3.223208580038772e-07
2.896815061569214,3.480553388595581,-3.128736238977581e-07
2.8854095935821533,3.496980905532837,-3.0344909873747383e-07
2.8739283084869385,3.5133543014526367,-2.9404023393908574e-07
2.862243175506592,3.5295822620391846,-2.846733764272358e-07
2.850430965423584,3.5457189083099365,-2.7533297952686553e-07
2.83846378326416,3.561738967895508,-2.6603416358739196e-07
2.826266050338745,3.577584743499756,-2.567971648659295e-07
2.813992738723755,3.5933730602264404,-2.4758060135354754e-07
2.8014702796936035,3.6089608669281006,-2.3844580709919683e-07
2.788691282272339,3.624342203140259,-2.293952263698884e-07
2.7758285999298096,3.6396517753601074,-2.203766342745439e-07
2.7626848220825195,3.6547179222106934,-2.1146723838683101e-07
2.749335765838623,3.6696064472198486,-2.0263753697236098e-07
2.7358150482177734,3.6843338012695312,-1.938855689331831e-07
2.7219910621643066,3.698777675628662,-1.8527036615978432e-07
2.7080368995666504,3.713099479675293,-1.7671416685516306e-07
2.69380521774292,3.727137327194214,-1.683023924670124e-07
2.6792540550231934,3.7408487796783447,-1.600570840309956e-07
2.664605140686035,3.754455089569092,-1.5186682844614552e-07
2.649625539779663,3.767688751220703,-1.4387430269380275e-07
2.6343700885772705,3.7806129455566406,-1.3604645232589974e-07
2.6189589500427246,3.793342351913452,-1.2832578022425878e-07
2.603213310241699,3.8056540489196777,-1.2083471290225134e-07
2.5872890949249268,3.8177428245544434,-1.1346613604246159e-07
2.571112632751465,3.8294782638549805,-1.0629712221543741e-07
2.5546064376831055,3.840752124786377,-9.938882783444569e-08
2.5380024909973145,3.8518853187561035,-9.256035582438926e-08
